row_id,id,text,document_id,location_id,sentence_id,title,forename,surname,pubyear,gender,text_sentence,text_location,lat,lon,Fiction/Non fiction,Genre 1,Genre 2,2nd Author - FN,2nd Author - SN,2nd Author - Gen,location_focus,sentiment,sentiment_score,refined_sentiment,final_sentiment
1495,5769,Scott Monument,7,204,5769,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"To me, the Scott Monument appears the most effective and beautiful of pubUc memorials. The lovely Martyrs' Memorial at Oxford is too small, compact, and finnikin,—wanting in depth, breadth, and shadow, and giving one the idea that it needs a glass case.
    ",Scott Monument,55.952389,-3.193253,fiction,adventure,0,0,0,0,TRUE,Positive,0.4,Positive,Positive
1501,5793,Edinburgh,7,91,5793,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"sllHE West Princes Street Gardens commence at the J_ other side of the Mound from the Art Galleries, and are continued as far as the Castle Esplanade. Our Edinburgh lodgings happened to be in that part of Princes Street that was immediately opposite to the Castle, whose bold profile was thus presented to us in one of its best points of view, and with all its prominent features, whenever we looked out of window. Below us, and between us and the grim Castle, were the beautiful Gardens, falling in terraces and slopes down to the dried-up bed of the Loch, along which the railway rattles and thunders, as it rushes from its tunnel beneath the Mound, and, after a breath of fresh air in the Gardens, again plunges into another longer tunnel.
    ",Edinburgh,55.949428,-3.192704,fiction,adventure,0,0,0,0,TRUE,Positive,0.2,Neutral,Neutral
1504,5794,Princes Street,7,567,5794,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"sllHE West Princes Street Gardens commence at the J_ other side of the Mound from the Art Galleries, and are continued as far as the Castle Esplanade. Our Edinburgh lodgings happened to be in that part of Princes Street that was immediately opposite to the Castle, whose bold profile was thus presented to us in one of its best points of view, and with all its prominent features, whenever we looked out of window. Below us, and between us and the grim Castle, were the beautiful Gardens, falling in terraces and slopes down to the dried-up bed of the Loch, along which the railway rattles and thunders, as it rushes from its tunnel beneath the Mound, and, after a breath of fresh air in the Gardens, again plunges into another longer tunnel.
    ",Princes Street,55.9518,-3.1985,fiction,adventure,0,0,0,0,TRUE,Positive,0.2,Neutral,Neutral
1549,5821,Newhaven,7,1487,5821,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"ring-stands, match-boxes, cigar-cases, pen-holders, teacaddies, card-trays, spectacle-cases, work-boxes, cardcases, napkin-rings, and various other things, which will enable you to carry back a real souvenir of Tartan-land for the low charge of sixpence. Here, too, you can buy your plaided work-boxes, glove-boxes, and writingdesks ; provide yourself with golf clubs and balls, and purchase for your little English friends the most charming dolls, dressed up as Newhaven fishwomen, or in every variety of tartan. In the latter, the costume of each clan is preserved to a nicety, so that these dolls may be said to combine amusement and instruction.
    ",Newhaven,55.9804283,-3.1949192,fiction,adventure,0,0,0,0,TRUE,Positive,0.1,Neutral,Neutral
1579,5835,Portobello,7,1200,5835,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"The suburb of Fisherrow, with its squalid houses and dirty exterior, suppUes many of those (so-called) ' Newhaven' fishwomen, with whom we will presently make acquaintance. Passing Joppa, we come to Portobello, a fashionable watering-place that has arisen since the days when Scott was so fond of riding his horse into the surf on the Portobello sands. It is now to Edinburgh what Margate is to London; except that Portobello is only
    ",Portobello,55.9528635,-3.1145573,fiction,adventure,0,0,0,0,TRUE,Negative,0,Negative,Neutral
1582,5836,Portobello,7,1200,5836,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"The suburb of Fisherrow, with its squalid houses and dirty exterior, suppUes many of those (so-called) ' Newhaven' fishwomen, with whom we will presently make acquaintance. Passing Joppa, we come to Portobello, a fashionable watering-place that has arisen since the days when Scott was so fond of riding his horse into the surf on the Portobello sands. It is now to Edinburgh what Margate is to London; except that Portobello is only
    ",Portobello,55.9528635,-3.1145573,fiction,adventure,0,0,0,0,TRUE,Negative,0,Negative,Neutral
1732,5903,Newhaven,7,1487,5903,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"Haifa-minute's actual experience had disillusioned me of all my Christie Johnstones. It is true, that Mr. Reade says, ' After a certain age, the Newhaven fishwife is always a blackguard and ugly; but, among the younger specimens, who have not traded too much, or come into much contact with larger towns, a charming modesty, or else slyness (such as no man can distinguish from it, so it answers every purpose), is to be found, combined with rare grace and beauty. It is a race of women that the northern sun peachifies instead of rosewoodising.
    ",Newhaven,55.9804283,-3.1949192,fiction,adventure,0,0,0,0,TRUE,Positive,0.1,Neutral,Neutral
1792,5932,Lasswade,7,1502,5932,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"A year before ' Tbe Lay' was published, Sir Walter had removed his summer residence from Lasswade to Ashestiel, on the banks of the Tweed, where, as Lockhart says, ' a more beautiful situation for the residence of a poet could not be conceived.' His day-dreams then were but limited ; they were (probably) embodied in the ' lowly bower ' mentioned in the concluding lines of ' The Lay,' and had not soared to the ambitious structure of Abbotsford.
    ",Lasswade,55.88295,-3.118962,fiction,adventure,0,0,0,0,TRUE,Positive,0.3,Positive,Positive
1882,6188,Roslin,7,1166,6188,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"But we need not marvel at Roslin being so much visited by tourists from far and near. The manifold attractions of this charming spot are to be found in an unusual and extraordinarily beautiful combination of the most pleasing objects both in art and nature.
    ",Roslin,55.8573318,-3.1674351,fiction,adventure,0,0,0,0,TRUE,Positive,0.4,Positive,Positive
1885,6189,Roslin,7,1166,6189,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"The manifold attractions of this charming spot are to be found in an unusual and extraordinarily beautiful combination of the most pleasing objects both in art and nature. Whatever the peculiar tastes and idiosyncrasies of the tourist may be, at Roslin he may depend upon having an opportunity to gratify them to the top of his bent. Is he a lover of fine scenery ? What can be finer than that wide stretch of wild-looking, yet richly-cultivated landscape, bounded by the long range of the Pentland hills, whose varied outline will remind him (if he be a Worcestershire man) of his own loved Malverns; or, if he be a travelled Thane, of the higher heights of the Andes ? Is he a lover of castle ruins ? There is the once stately home of the St. Clairs, now battered and worn, but still possessing many evidences of its former grandeur.
    ",Roslin,55.8573318,-3.1674351,fiction,adventure,0,0,0,0,TRUE,Positive,0.4,Positive,Positive
1900,6201,Roslin,7,1166,6201,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"Is he of an antiquarian and archæological turn ? There is the old Roman road called ' The Cast' (via ad castra), the military camp at Mavisbank, aud the tumulus at Pennycuik, where you might hope to unearth urns, fibulæ, and the spoils of war. Is he a lover of legendary stores ? At Roslin he can learn of the grandeur of the St. Clairs—of the hair breadth escapes of Sir Alexander Ramsay in the caves of Hawthornden—of the day of the triple battle between the Scots and the English—of the laird of Gilmerton Grange, who fired the house in which were his beautiful daughter and that guilty abbot, her lover, so that both perished in the flames—of the lady of Woodhouselee, a white-robed, restless spectre, with her infant in her
    ",Roslin,55.8573318,-3.1674351,fiction,adventure,0,0,0,0,TRUE,Positive,0.3,Positive,Positive
2047,6283,Roslin Chapel,7,1547,6283,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"Much has been written of the architectural characteristics of Roslin Chapel; and Scott-ish sticklers for pure Gothic tell us many things to disparage our beautiful gem. It is such an eccentric production (they say); there is nothing of the legitimate Gothic about it; it is a mere barbarous nonentity — a mad medley of the baronial and ecclesiastical, with a snatch at all the developements of Gothic architecture in their various stages.
    ",Roslin Chapel,55.855372,-3.15988,fiction,adventure,0,0,0,0,TRUE,Positive,0.1,Neutral,Neutral
2059,6289,Roslin,7,1166,6289,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"Of course, remonstrance and argument with such a purist are alike superfluous and useless; and we who admire Roslin as unhesitatingly as we would admire a rose, or a landscape, or a picture, or a beautiful woman, without casting about for any strict rules wherewith to fetter our admiration, are snubbed in our ecstasies, and are told to go to Melrose. Very well! let us go to Melrose by all means : but I, for my part, was glad that I had paid a visit to Melrose before I became acquainted with Roslin.
    ",Roslin,55.8573318,-3.1674351,fiction,adventure,0,0,0,0,TRUE,Positive,0.3,Positive,Positive
2062,6293,Roslin,7,1166,6293,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"Of course, remonstrance and argument with such a purist are alike superfluous and useless; and we who admire Roslin as unhesitatingly as we would admire a rose, or a landscape, or a picture, or a beautiful woman, without casting about for any strict rules wherewith to fetter our admiration, are snubbed in our ecstasies, and are told to go to Melrose. Very well! let us go to Melrose by all means : but I, for my part, was glad that I had paid a visit to Melrose before I became acquainted with Roslin. The one may be pure and legitimate, and the other may be eccentric and florid; but, beautiful as was Melrose, I preferred its smaller rival—more especially when taken in connection with the Castle and the Glen.
    ",Roslin,55.8573318,-3.1674351,fiction,adventure,0,0,0,0,TRUE,Positive,0.2,Positive,Positive
2155,6352,Roslin,7,1166,6352,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"Tbe ' copsewood glen' rises precipitously on the opposite bank; and the foreground of the view is broken up by rocks, ferns, and brushwood ready prepared for the painter's use ; while that most picturesque of all trees, the Scotch fir, lends its valuable aid to the nearest points of the picture. Although every step that is taken at Roslin is suggestive of a desirable stand-point for a sketch, yet I have no sooner arrived at this spot than I feel it to be a place where ninety-nine out of every hundred artists and sketchers who have visited Roslin must infallibly have pitched their tents, umbrellas, or camp-stools, and have worked with a will at this beautiful landscape, whose pictured form will convey to the spectator so clear an idea of the spot, and of the relative positions of its three chief attractions. And yet, among the many delineations of Roslin with which I am familiar, I do not know one that is a representative of this particular view.
    ",Roslin,55.8573318,-3.1674351,fiction,adventure,0,0,0,0,TRUE,Positive,0.2,Positive,Positive
2158,6353,Roslin,7,1166,6353,A Tour in Tartan-Land, Cuthbert,Bede,1863-01-01,m,"Tbe ' copsewood glen' rises precipitously on the opposite bank; and the foreground of the view is broken up by rocks, ferns, and brushwood ready prepared for the painter's use ; while that most picturesque of all trees, the Scotch fir, lends its valuable aid to the nearest points of the picture. Although every step that is taken at Roslin is suggestive of a desirable stand-point for a sketch, yet I have no sooner arrived at this spot than I feel it to be a place where ninety-nine out of every hundred artists and sketchers who have visited Roslin must infallibly have pitched their tents, umbrellas, or camp-stools, and have worked with a will at this beautiful landscape, whose pictured form will convey to the spectator so clear an idea of the spot, and of the relative positions of its three chief attractions. And yet, among the many delineations of Roslin with which I am familiar, I do not know one that is a representative of this particular view.
    ",Roslin,55.8573318,-3.1674351,fiction,adventure,0,0,0,0,TRUE,Positive,0.2,Positive,Positive
